Campaign report
"January 15, 2026 - January 15, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign type,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Bid strategy type,Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.
Paused,Brand - Search AD -UK Promotion for Tents,100.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Search,0,0, --,0,0.00,Maximize Conversion Value,0,0.00%,0.00,0.00,0.00,0,0.00
Enabled,Pmax-multipack with conv-20240828,120.00, --,Daily,HKD,Eligible (Limited),limited by budget; unknown,68.90,Performance Max,"2,310",31,1.34%,4.24,131.59,Maximize Conversion Value (Target ROAS),27,6.45%,455.46,3.46,2.00,4.87,65.82
Enabled,Pmax-5r mini-20250916,100.00, --,Daily,HKD,Eligible (Limited),limited by budget; unknown,72.69,Performance Max,"2,565",54,2.11%,2.29,123.77,Maximize Conversion Value (Target ROAS),28,0.00%,0.00,0.00,0.00,4.42,0.00
Paused,Pmax-dm&uv-32-20250429,100.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Performance Max,0,0, --,0,0.00,Maximize Conversion Value (Target ROAS),0,0.00%,0.00,0.00,0.00,0,0.00
Paused,"Non-brand-best walkie talkie-cpc<8, 20251203",100.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Search,0,0, --,0,0.00,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Standard Shopping - UK,150.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Shopping,0,0, --,0,0.00,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Standard Shopping - DE,120.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Shopping,0,0, --,0,0.00,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,PMax-888s only-20241218,300.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Performance Max,0,0, --,0,0.00,Maximize Conversion Value (Target ROAS),0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Sales-dsa-240930,100.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Search,0,0, --,0,0.00,Maximize Conversion Value,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Sales-Performance Max-AU,100.00, --,Daily,HKD,Paused,campaign paused; unknown; unknown, --,Performance Max,0,0, --,0,0.00,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Tents,100.00, --,Daily,HKD,Paused,campaign paused; most ads disapproved, --,Search,0,0, --,0,0.00,Maximize clicks,0,0.00%,0.00,0.00,0.00,0,0.00
Paused,Baofeng BF-F8 PLUS,50.00, --,Daily,HKD,Paused,campaign paused; unknown, --,Search,0,0, --,0,0.00,Maximize Conversions,0,0.00%,0.00,0.00,0.00,0,0.00
Total: Campaigns, --, --, --, --,HKD, --,, --, --,"16,094",400,2.49%,2.44,977.36, --,246,1.76%,"3,656.96",3.74,7.04,3.97,138.74
Total: Account,,,,,HKD,,,,,"16,094",400,2.49%,2.44,977.36,,246,1.76%,"3,656.96",3.74,7.04,3.97,138.74
Total: Shopping,,,,,HKD,,,,Shopping,0,0, --,0,0.00,,0,0.00%,0.00,0.00,0.00,0,0.00
Total: Search,,,,,HKD,,,,Search,680,50,7.35%,4.05,202.55,,50,6.00%,"1,243.17",6.14,3.00,4.05,67.52
Total: Performance Max,,,,,HKD,,,,Performance Max,"15,414",350,2.27%,2.21,774.81,,196,1.16%,"2,413.78",3.12,4.04,3.95,191.56
Total: Display,,,,,HKD,,,,Display,0,0, --,0,0.00,,0,0.00%,0.00,0.00,0.00,0,0.00
